101
5.45521945 -8.40671496
5.38456299 -8.22081196
5.25991752 -8.06584175
5.09348420 -7.95697388
4.90155468 -7.90486512
4.70291638 -7.91461622
4.51701337 -7.98527268
4.36204316 -8.10991815
4.25317530 -8.27635147
4.20106653 -8.46828099
4.21081763 -8.66691929
4.28147409 -8.85282230
4.40611957 -9.00779251
4.57255289 -9.11666037
4.76448240 -9.16876914
4.96312071 -9.15901804
5.14902371 -9.08836158
5.30399392 -8.96371610
5.41286179 -8.79728278
5.46497055 -8.60535327

5.77777131 -6.46849627
5.71873649 -6.27858274
5.60390452 -6.11620700
5.44451597 -5.99726352
5.25617290 -5.93339532
5.05731163 -5.93085426
4.86739809 -5.98988909
4.70502235 -6.10472105
4.58607887 -6.26410960
4.52221067 -6.45245268
4.51966962 -6.65131395
4.57870444 -6.84122748
4.69353640 -7.00360322
4.85292495 -7.12254670
5.04126803 -7.18641490
5.24012930 -7.18895596
5.43004284 -7.12992113
5.59241858 -7.01508917
5.71136206 -6.85570062
5.77523026 -6.66735754

5.53518776 -4.10670513
5.44953206 -3.92721875
5.31260430 -3.78298612
5.13780794 -3.68812574
4.94225324 -3.65192321
4.74508248 -3.67792227
4.56559610 -3.76357797
4.42136347 -3.90050573
4.32650309 -4.07530210
4.29030056 -4.27085679
4.31629962 -4.46802755
4.40195532 -4.64751394
4.53888308 -4.79174657
4.71367945 -4.88660694
4.90923414 -4.92280948
5.10640490 -4.89681041
5.28589129 -4.81115471
5.43012392 -4.67422695
5.52498430 -4.49943059
5.56118683 -4.30387589

8.14482489 -4.04456972
8.05993461 -3.86472005
7.92362255 -3.71990540
7.74923189 -3.62430122
7.55383320 -3.58726591
7.35655347 -3.61242477
7.17670380 -3.69731505
7.03188915 -3.83362710
6.93628497 -4.00801776
6.89924967 -4.20341645
6.92440852 -4.40069619
7.00929880 -4.58054585
7.14561085 -4.72536051
7.32000151 -4.82096469
7.51540020 -4.85799999
7.71267994 -4.83284114
7.89252960 -4.74795086
8.03734426 -4.61163880
8.13294844 -4.43724814
8.16998374 -4.24184945

6.34150330 -1.70515550
6.25335090 -1.52688208
6.11442346 -1.38457456
5.93832017 -1.29216301
5.74227926 -1.25869332
5.54549056 -1.28744172
5.36721713 -1.37559412
5.22490962 -1.51452156
5.13249807 -1.69062485
5.09902838 -1.88666576
5.12777678 -2.08345446
5.21592918 -2.26172789
5.35485662 -2.40403540
5.53095991 -2.49644695
5.72700082 -2.52991664
5.92378952 -2.50116824
6.10206294 -2.41301584
6.24437046 -2.27408840
6.33678201 -2.09798511
6.37025170 -1.90194420

4.01964293 -5.73768798
3.97431443 -5.54404503
3.87136551 -5.37388693
3.72087352 -5.24386992
3.53756967 -5.16672098
3.33939701 -5.14999198
3.14575407 -5.19532048
2.97559596 -5.29826940
2.84557896 -5.44876139
2.76843002 -5.63206525
2.75170102 -5.83023790
2.79702952 -6.02388085
2.89997844 -6.19403895
3.05047043 -6.32405596
3.23377428 -6.40120490
3.43194694 -6.41793390
3.62558988 -6.37260540
3.79574798 -6.26965648
3.92576499 -6.11916449
4.00291393 -5.93586063

7.49139487 -7.65312612
7.45701846 -7.45724217
7.36379307 -7.28156835
7.22084427 -7.14330085
7.04216487 -7.05597426
6.84524527 -7.02813670
6.64936131 -7.06251311
6.47368750 -7.15573849
6.33542000 -7.29868730
6.24809340 -7.47736669
6.22025584 -7.67428630
6.25463226 -7.87017025
6.34785764 -8.04584407
6.49080644 -8.18411157
6.66948584 -8.27143817
6.86640544 -8.29927572
7.06228940 -8.26489931
7.23796321 -8.17167393
7.37623071 -8.02872513
7.46355731 -7.85004573

3.14099365 -7.44539865
3.05556100 -7.26580599
2.91881255 -7.12140335
2.74413417 -7.02632589
2.54862460 -6.98988043
